Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
01/03/24,8.9,32,0,,11.3,E,59,21:48,Forrestdale 
01/04/24,16.4,31.6,0,,13.1,ESE,56,1:04,Forrestdale 
01/04/2024,17.1,31.9,0,,,E,56,4:06,East Rockingham 
01/05/2024,17,28.7,0,,,SSW,52,16:34,East Rockingham 
01/07/2024,19.2,30.9,0,,,SSW,43,17:25,East Rockingham 
01/04/2024,17.1,31.9,0,,,E,56,4:06,Rockingham
01/05/2024,17,28.7,0,,,SSW,52,16:34,Rockingham
01/07/2024,19.2,30.9,0,,,SSW,43,17:25,Rockingham
02/29/2024,17.8,24.9,0,,,S,59,19:31,Rockingham
1/15/2024,21.3,38.1,0,,,WSW,43,13:19,Yanchep
1/13/2024,24.5,43,3,,,E,44,3:04,Yanchep
1/14/2024,19.6,41,0,,,ENE,52,11:58,Yanchep
1/19/2024,20.5,,,,,,,,Yanchep
1/7/2024,15,38.3,0,,,SSW,46,16:11,Yanchep
22/02/2024,17.7,32.7,0,,,E,48,10:13,Yanchep
09/01/2024,16.4,31.9,0,,,SSW,48,15:25,Yanchep
2/21/2024,17.1,31.3,0,,,SW,46,17:04,Yanchep
2/23/2024,18.8,39.9,0,,,ENE,52,9:30,Yanchep
1/7/2024,15,38.3,0,,,SSW,46,16:11,Carabooda 
1/12/2024,19.3,37.1,0,,13,ESE,52,23:23,Oakford
1/13/2024,23.6,40.4,1.4,,11.3,ENE,44,0:43,Oakford
1/15/2024,23.1,34.5,0,,12.1,N,31,10:34,Oakford
1/13/2024,23.2,40.7,1.8,11,11.3,E,33,0:41,Gnangara
1/14/2024,23.3,36.6,0,11.2,12.7,SW,24,10:21,Gnangara
1/15/2024,22.3,34.4,0,11,12.1,WSW,26,13:42,Gnangara
1/22/2024,15.9,28,0,10.2,13.1,SSW,41,15:26,Gnangara
1/23/2024,16.6,27.7,0,9.4,13,S,39,13:52,Gnangara
1/24/2024,17.5,28.2,0,8.6,12.9,SSW,46,16:00,Gnangara
