Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
22/12/2023,18.5,32.8,0,12.6,12.6,W,30,11:31,Bailup
19/12/2023,17.7,33,0,10.2,11,ESE,56,2:49,Bailup
25/12/2023,19.5,38.8,0,9.4,12,WSW,33,13:52,Bailup
23/12/2023,15.9,35.4,0,8.4,13.1,ESE,39,21:50,Bailup
24/12/2023,16.6,36.2,0,12.8,12.4,SSE,52,1:33,Bailup
28/12/2023,18,30.5,0,9.2,11.4,ESE,59,22:57,Bailup
26/12/2023,20.2,28.6,0,10.6,9.5,SW,33,15:22,Bailup
27/12/2023,16.9,28.2,0,8.4,12.7,SSW,37,14:04,Bailup
13/02/2024,18.8,36.1,0,,12.4,ESE,52,21:22,Gosnells
27/12/2023,16,26.4,0,,12.7,ESE,57,23:51,Gosnells
04/01/2024,16.4,31.6,0,,13.1,ESE,56,1:04,Champion Lakes
27/12/2023,16,26.4,0,,12.7,ESE,57,23:51,Champion Lakes
03/01/2024,18.9,32,0,,11.3,E,59,21:48,Champion Lakes
12/12/2023,17.3,33.1,0,,11,E,61,23:59,Armadale
28/12/2023,18,30.4,0,,11.4,ESE,65,20:51,Armadale
04/01/2024,16.4,31.6,0,,13.1,ESE,56,1:04,Armadale
27/12/2023,16,26.4,0,,12.7,ESE,57,23:51,Armadale
03/01/2024,19.5,26.3,0,,9.8,WSW,35,13:53,Armadale
27/12/2023,16,26.4,0,,12.7,ESE,57,23:51,Southern River
26/01/2024,16.6,32.6,0,,13,ESE,39,5:44,Southern River
27/01/2024,16.6,32.6,0,,13,ESE,39,5:44,Southern River
28/01/2024,13.3,28,0,,12.1,WSW,44,13:31,Southern River
30/01/2024,17.1,36.3,0,,12.9,ESE,48,3:18,Southern River
01/02/2024,23.3,41.9,0,,12.7,WSW,37,15:16,Southern River
27/12/2023,14.2,26.2,0,,,ESE,59,23:06,Roleystone
28/12/2023,15.1,27.9,0,,,ESE,70,2:54,Roleystone
29/12/2023,14,29.5,0,,,ENE,65,2:09,Roleystone
01/01/2024,16,27.8,0,,11.8,SW,48,14:15,Darling Downs
